atleta_id;nome;apelido;slug;clube_id;clube_nome;clube_abreviacao;posicao_id;posicao_nome;status_id;status_nome;preco_num;variacao_num;media_num;jogos_num;pontos_num
130382;Guilherme Henrique Bernardineli Gomes;Guilherme Gomes;guilherme-gomes;262;FLA;FLA;4;Meia;6;Nulo;3;0;0;0;0
86485;Marcos da Silva França;Keno;keno;266;FLU;FLU;5;Atacante;6;Nulo;6;0;0;0;0
78117;Everaldo Stum;Everaldo;everaldo;266;FLU;FLU;5;Atacante;7;Provável;5;0;0;0;0
79631;Germán Ezequiel Cano;Cano;cano;266;FLU;FLU;5;Atacante;5;Contundido;6;0;0;0;0
87258;Yeferson Julio Soteldo Martínez;Soteldo;soteldo;266;FLU;FLU;5;Atacante;5;Contundido;6;0;0;0;0
78855;Thiago dos Santos;Thiago Santos;thiago-santos;294;CFC;CFC;3;Zagueiro;6;Nulo;3;0;0;0;0
102928;Agustín Canobbio Graviz;Canobbio;canobbio;266;FLU;FLU;5;Atacante;7;Provável;8;0;0;0;0
87228;Guilherme Antonio Arana Lopes;Guilherme Arana;guilherme-arana;266;FLU;FLU;2;Lateral;7;Provável;10;0;0;0;0
101319;Cláudio Rodrigues Gomes;Guga;guga;266;FLU;FLU;2;Lateral;6;Nulo;6;0;0;0;0
100987;Gustavo Nonato Santana;Nonato;nonato;266;FLU;FLU;4;Meia;2;Dúvida;6;0;0;0;0
89493;Igor Rabello da Costa;Igor Rabello;igor-rabello;266;FLU;FLU;3;Zagueiro;6;Nulo;5;0;0;0;0
113034;Juan Pablo Freytes;Freytes;freytes;266;FLU;FLU;3;Zagueiro;7;Provável;5;0;0;0;0
103523;Ignácio da Silva Oliveira;Ignácio;ignacio;266;FLU;FLU;3;Zagueiro;6;Nulo;6;0;0;0;0
101478;Marcelo de Araújo Pitaluga Filho;Marcelo Pitaluga;marcelo-pitaluga;266;FLU;FLU;1;Goleiro;6;Nulo;3;0;0;0;0
96340;Vinícius Moreira de Lima;Lima;lima;266;FLU;FLU;4;Meia;6;Nulo;6;0;0;0;0
103672;Gabriel Rafael Fuentes Gómez;Gabriel Fuentes;gabriel-fuentes;266;FLU;FLU;2;Lateral;6;Nulo;4;0;0;0;0
102137;Vitor Eudes de Souza Costa;Vitor Eudes;vitor-eudes;266;FLU;FLU;1;Goleiro;6;Nulo;2;0;0;0;0
99366;Luis Francisco Zubeldía;Luis Zubeldía;luis-zubeldia;266;FLU;FLU;6;Técnico;7;Provável;9;0;0;0;0
110759;John Kennedy Batista de Souza;John Kennedy;john-kennedy;266;FLU;FLU;5;Atacante;6;Nulo;6;0;0;0;0
104075;José Sabino Chagas Monteiro;Sabino;sabino;276;SAO;SAO;3;Zagueiro;7;Provável;5;0;0;0;0
